"filename", "language", "TypeScript", "JavaScript JSX", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/nevdread/dev/devAds/designStudio/client/src/App.jsx", "JavaScript JSX", 0, -39, 0, 0, 0, -3, -42
"/Users/nevdread/dev/devAds/designStudio/client/src/components/ElementMetaModal.jsx", "JavaScript JSX", 0, -254, 0, 0, -4, -14, -272
"/Users/nevdread/dev/devAds/designStudio/client/src/components/Modal.jsx", "JavaScript JSX", 0, -30, 0, 0, -1, -4, -35
"/Users/nevdread/dev/devAds/designStudio/client/src/components/Navbar.jsx", "JavaScript JSX", 0, -243, 0, 0, -13, -16, -272
"/Users/nevdread/dev/devAds/designStudio/client/src/components/ProjectContext.jsx", "JavaScript JSX", 0, -18, 0, 0, 0, -5, -23
"/Users/nevdread/dev/devAds/designStudio/client/src/components/Search.jsx", "JavaScript JSX", 0, -73, 0, 0, -3, -6, -82
"/Users/nevdread/dev/devAds/designStudio/client/src/components/SearchIcon.jsx", "JavaScript JSX", 0, -28, 0, 0, 0, -1, -29
"/Users/nevdread/dev/devAds/designStudio/client/src/components/Sidebar.jsx", "JavaScript JSX", 0, -85, 0, 0, -6, -11, -102
"/Users/nevdread/dev/devAds/designStudio/client/src/components/hooks/useDebounce.jsx", "JavaScript JSX", 0, -14, 0, 0, 0, -6, -20
"/Users/nevdread/dev/devAds/designStudio/client/src/components/hooks/useDebounce.test.js", "JavaScript", 0, 0, -31, 0, -6, -12, -49
"/Users/nevdread/dev/devAds/designStudio/client/src/components/hooks/useHistory.jsx", "JavaScript JSX", 0, -30, 0, 0, -7, -7, -44
"/Users/nevdread/dev/devAds/designStudio/client/src/components/hooks/useHistory.test.js", "JavaScript", 0, 0, -33, 0, 0, -15, -48
"/Users/nevdread/dev/devAds/designStudio/client/src/components/hooks/usePressedKeys.jsx", "JavaScript JSX", 0, -24, 0, 0, 0, -7, -31
"/Users/nevdread/dev/devAds/designStudio/client/src/components/hooks/usePressedKeys.test.js", "JavaScript", 0, 0, -17, 0, -1, -6, -24
"/Users/nevdread/dev/devAds/designStudio/client/src/components/loyout/ProtectedLayout.jsx", "JavaScript JSX", 0, -96, 0, 0, -3, -16, -115
"/Users/nevdread/dev/devAds/designStudio/client/src/index.css", "CSS", 0, 0, 0, -3, 0, -2, -5
"/Users/nevdread/dev/devAds/designStudio/client/src/index.js", "JavaScript", 0, 0, -20, 0, 0, -2, -22
"/Users/nevdread/dev/devAds/designStudio/client/src/pages/Change.jsx", "JavaScript JSX", 0, -75, 0, 0, -2, -12, -89
